id,conversation_id,role,participantable_id,participantable_type,exited_at,last_active_at,conversation_cleared_at,conversation_deleted_at,conversation_read_at,deleted_at,created_at,updated_at
216,108,owner,193113,App\Models\Customer,,,,,,,2025-12-24 14:23:31,2025-12-24 14:23:31
217,109,owner,1,App\Models\User,,,,,,,2025-12-24 14:25:49,2025-12-24 14:25:49
218,109,owner,437481,App\Models\Customer,,,,,,,2025-12-24 14:25:49,2025-12-24 14:25:49
219,110,owner,1,App\Models\User,,,,,,,2025-12-24 18:29:28,2025-12-24 18:29:28
220,110,owner,668821,App\Models\Customer,,,,,,,2025-12-24 18:29:28,2025-12-24 18:29:28
221,111,owner,1,App\Models\User,,,,,,,2025-12-24 18:29:28,2025-12-24 18:29:28
222,111,owner,673660,App\Models\Customer,,,,,,,2025-12-24 18:29:28,2025-12-24 18:29:28
223,112,owner,1,App\Models\User,,,,,,,2025-12-24 19:30:44,2025-12-24 19:30:44
224,112,owner,673661,App\Models\Customer,,,,,,,2025-12-24 19:30:44,2025-12-24 19:30:44
225,113,owner,1,App\Models\User,,,,,,,2025-12-24 22:38:34,2025-12-24 22:38:34
226,113,owner,573409,App\Models\Customer,,,,,,,2025-12-24 22:38:34,2025-12-24 22:38:34
227,114,owner,1,App\Models\User,,,,,,,2025-12-25 06:21:56,2025-12-25 06:21:56
228,114,owner,668971,App\Models\Customer,,,,,,,2025-12-25 06:21:56,2025-12-25 06:21:56
229,115,owner,1,App\Models\User,,,,,,,2025-12-25 06:25:13,2025-12-25 06:25:13
230,115,owner,673667,App\Models\Customer,,,,,,,2025-12-25 06:25:13,2025-12-25 06:25:13
231,116,owner,1,App\Models\User,,,,,,,2025-12-25 06:29:54,2025-12-25 06:29:54
232,116,owner,667738,App\Models\Customer,,,,,,,2025-12-25 06:29:54,2025-12-25 06:29:54
233,117,owner,1,App\Models\User,,,,,,,2025-12-25 12:08:01,2025-12-25 12:08:01
234,117,owner,163802,App\Models\Customer,,,,,,,2025-12-25 12:08:01,2025-12-25 12:08:01
235,118,owner,1,App\Models\User,,,,,,,2025-12-25 12:32:41,2025-12-25 12:32:41
236,118,owner,673670,App\Models\Customer,,,,,,,2025-12-25 12:32:41,2025-12-25 12:32:41
237,119,owner,1,App\Models\User,,,,,,,2025-12-25 12:48:21,2025-12-25 12:48:21
238,119,owner,529023,App\Models\Customer,,,,,,,2025-12-25 12:48:21,2025-12-25 12:48:21
239,120,owner,1,App\Models\User,,,,,,,2025-12-25 13:40:30,2025-12-25 13:40:30
240,120,owner,657414,App\Models\Customer,,,,,,,2025-12-25 13:40:30,2025-12-25 13:40:30
241,121,owner,1,App\Models\User,,,,,,,2025-12-25 15:06:21,2025-12-25 15:06:21
242,121,owner,673672,App\Models\Customer,,,,,,,2025-12-25 15:06:21,2025-12-25 15:06:21
243,122,owner,1,App\Models\User,,,,,,,2025-12-25 15:13:13,2025-12-25 15:13:13
244,122,owner,673673,App\Models\Customer,,,,,,,2025-12-25 15:13:13,2025-12-25 15:13:13
245,123,owner,1,App\Models\User,,,,,,,2025-12-25 16:14:04,2025-12-25 16:14:04
246,123,owner,673674,App\Models\Customer,,,,,,,2025-12-25 16:14:04,2025-12-25 16:14:04
247,124,owner,1,App\Models\User,,,,,,,2025-12-25 16:21:29,2025-12-25 16:21:29
248,124,owner,673675,App\Models\Customer,,,,,,,2025-12-25 16:21:29,2025-12-25 16:21:29
249,125,owner,1,App\Models\User,,,,,,,2025-12-25 16:54:07,2025-12-25 16:54:07
250,125,owner,673676,App\Models\Customer,,,,,,,2025-12-25 16:54:07,2025-12-25 16:54:07
251,126,owner,1,App\Models\User,,,,,,,2025-12-26 05:20:25,2025-12-26 05:20:25
252,126,owner,673683,App\Models\Customer,,,,,,,2025-12-26 05:20:25,2025-12-26 05:20:25
253,127,owner,1,App\Models\User,,,,,,,2025-12-26 06:23:37,2025-12-26 06:23:37
254,127,owner,657293,App\Models\Customer,,,,,,,2025-12-26 06:23:37,2025-12-26 06:23:37
255,128,owner,1,App\Models\User,,,,,,,2025-12-26 08:48:31,2025-12-26 08:48:31
256,128,owner,205143,App\Models\Customer,,,,,,,2025-12-26 08:48:31,2025-12-26 08:48:31
257,129,owner,1,App\Models\User,,,,,,,2025-12-26 09:30:38,2025-12-26 09:30:38
258,129,owner,648974,App\Models\Customer,,,,,,,2025-12-26 09:30:38,2025-12-26 09:30:38
259,130,owner,1,App\Models\User,,,,,,,2025-12-26 10:03:20,2025-12-26 10:03:20
260,130,owner,673690,App\Models\Customer,,,,,,,2025-12-26 10:03:20,2025-12-26 10:03:20
261,131,owner,1,App\Models\User,,,,,,,2025-12-26 10:59:16,2025-12-26 10:59:16
262,131,owner,420779,App\Models\Customer,,,,,,,2025-12-26 10:59:16,2025-12-26 10:59:16
263,132,owner,1,App\Models\User,,,,,,,2025-12-26 12:29:53,2025-12-26 12:29:53
264,132,owner,673696,App\Models\Customer,,,,,,,2025-12-26 12:29:53,2025-12-26 12:29:53
265,133,owner,1,App\Models\User,,,,,,,2025-12-26 13:18:41,2025-12-26 13:18:41
266,133,owner,181715,App\Models\Customer,,,,,,,2025-12-26 13:18:41,2025-12-26 13:18:41
267,134,owner,1,App\Models\User,,,,,,,2025-12-26 13:28:35,2025-12-26 13:28:35
268,134,owner,651553,App\Models\Customer,,,,,,,2025-12-26 13:28:35,2025-12-26 13:28:35
269,135,owner,1,App\Models\User,,,,,,,2025-12-26 13:28:36,2025-12-26 13:28:36
